source,type_local,titre,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,nom_commune,code_postal,code_departement,longitude,latitude,description,url,date_mutation
pap,Appartement,Appartement – 3 pièces – 70 m² – Toulon (83000),300000.0,70.0,3.0,Toulon,83000,83,,,"Appartement T3 de 70m², situé au 2ᵉ étage d’une résidence de standing avec ascenseur et gardien à La Serinette.

Caractéristiques principales :
- Entrée avec grand placard intégré
- Cuisine équipée...",https://www.pap.fr/annonces/appartement-toulon-83000-r462600432,2026-03-12T05:48:18.974572
pap,Appartement,Appartement – 3 pièces – 80 m² – Toulon (83000),370000.0,80.0,3.0,Toulon,83000,83,,,"Appartement T3 de 80 m2 avec terrasse de 22,25 m2.
Dans le quartier du Cap- Brun
A proximité des commerces,  des écoles.
A 400 mètres des plages
Transport en commun devant la porte.

Comprenant :...",https://www.pap.fr/annonces/appartement-toulon-83000-r460000464,2026-03-12T05:48:18.974572
pap,Appartement,Appartement – 1 pièce – 25 m² – Toulon (83000),86000.0,25.0,1.0,Toulon,83000,83,,,"TOULON EST limite LA VALETTE - proche MER -
T1 rénové 4° Ascenseur - Vue dégagée dominante - Résidence sécurisée avec GARDIEN - parc arboré - VENDU MEUBLE 25 M2 Loi Carrez - 35 M2 au sol - lumineux -...",https://www.pap.fr/annonces/appartement-toulon-83000-r462103058,2026-03-12T05:48:18.974572
pap,Appartement,Appartement – 3 pièces – 62 m² – Toulon (83000),218000.0,62.0,3.0,Toulon,83000,83,,,"Toulon – bas Faron : Appartement T2/T3 rénové avec balcon et parking.

Situé dans l'un des secteurs les plus prisés de Toulon juste en dessous du téléphérique, découvrez cet appartement de 62 m²...",https://www.pap.fr/annonces/appartement-toulon-83000-r461900192,2026-03-12T05:48:18.974572
pap,Appartement,Appartement – 3 pièces – 70 m² – Toulon,350000.0,70.0,3.0,Toulon,,,,,"Cap Brun, proche mer, à 10 mn à pied des anses Magaud et Méjean.

Dans petite résidence de 3 étages, 3 pièces 70 m2 environ, au 1er étage avec ascenseur. Très calme.

Entièrement refait à neuf...",https://www.pap.fr/annonces/appartement-toulon-r456900255,2026-03-12T05:48:18.974572
pap,Appartement,Appartement – 4 pièces – 126 m² – Toulon (83000),254000.0,126.0,4.0,Toulon,83000,83,,,"Appartement de 126 m² situé dans une copropriété très bien entretenue au calme mais proche des commodités (école, gare, centre) composé :
- d'une entrée avec placard
- un grand salon/salle à manger,...",https://www.pap.fr/annonces/appartement-toulon-83000-r461701473,2026-03-12T05:48:18.974572
pap,Appartement,Appartement – 3 pièces – 63 m² – Toulon (83000),260000.0,63.0,3.0,Toulon,83000,83,,,"La Loubière / Bas Faron.
**Dernier étage lumineux avec grande terrasse et cadre verdoyant**.

Dans copropriété sécurisée avec portail électrique et parking collectif, T3 de 63,6 m² situé au 4ᵉ et...",https://www.pap.fr/annonces/appartement-toulon-83000-r462500999,2026-03-12T05:48:18.974572
pap,Appartement,Appartement – 2 pièces – 59 m² – Toulon (83000),300000.0,59.0,2.0,Toulon,83000,83,,,"T2 situé au second étage dans une copropriété de 2 étages, avec **parking sécurisé ( grille avec télécommande)**.
L'appartement comprend un salon et une chambre, une salle de bain et toilettes...",https://www.pap.fr/annonces/appartement-toulon-83000-r462302518,2026-03-12T05:48:18.974572
pap,Appartement,Appartement – 1 pièce – 19 m² – La Seyne-Sur-Mer (83500)à 5km de Toulon,87000.0,19.0,1.0,La Seyne-Sur-Mer (83500)à 5km de Toulon,,,,,"**Haute ville de La Seyne-sur-Mer**

Bel appartement de type studio, situé en rez-de-chaussée et d'une surface habitable de 19m2, il se compose d'une entrée principale donnant directement sur...",https://www.pap.fr/annonces/appartement-la-seyne-sur-mer-83500-r459600413,2026-03-12T05:48:18.974572
pap,Appartement,Appartement – 3 pièces – 52 m² – La Seyne-Sur-Mer (83500)à 5km de Toulon,189000.0,52.0,3.0,La Seyne-Sur-Mer (83500)à 5km de Toulon,,,,,"**Appartement clair et lumineux avec balcon**

Situation idéale, dans un quartier calme et agréable, à quelques minutes des commerces et de toutes commodités. Au 1er étage (sur 2) d'une charmante...",https://www.pap.fr/annonces/appartement-la-seyne-sur-mer-83500-r459600409,2026-03-12T05:48:18.974572
