id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2025-415736,2025-02-26,1,Vente,60000.0,3.0,,RUE TRUGUET,7010,83000.0,83137,Toulon,83,,6.0,34.5,,,,,,,,,1,2.0,Appartement,30.0,1.0,,5.934895,43.125737,000CK,373
2023-1131205,2023-12-28,1,Vente,160000.0,518.0,,BD BAZEILLES,0710,83000.0,83137,Toulon,83,,140.0,43.38,,,,,,,,,1,2.0,Appartement,43.0,2.0,,5.934776,43.11236,000BY,799
2023-1131292,2023-12-27,1,Vente,115000.0,94.0,,BD REGIS DUSSERRE,6145,83200.0,83137,Toulon,83,,2.0,,,,,,,,,,1,2.0,Appartement,40.0,2.0,,5.899152,43.128254,000DL,800
2023-1131293,2023-12-29,1,Vente,88650.0,91.0,,RUE D ISLY,3735,83200.0,83137,Toulon,83,,12.0,,7.0,31.6,,,,,,,2,2.0,Appartement,35.0,2.0,,5.914571,43.129346,000CX,798
2023-1131389,2023-12-27,1,Vente,127000.0,1968.0,,CHEM VX CHEMIN DE STE MUSSE,6620,83100.0,83137,Toulon,83,,47.0,,,,,,,,,,1,2.0,Appartement,76.0,4.0,,5.979072,43.123486,000AY,800
2023-1131422,2023-12-27,1,Vente,236000.0,949.0,,AV FRANCOIS NARDI,3025,83000.0,83137,Toulon,83,,143.0,,154.0,62.3,,,,,,,2,2.0,Appartement,63.0,4.0,,5.960075,43.116945,000BP,800
2023-1131424,2023-12-29,1,Vente,166000.0,128.0,,AV DE LA REPUBLIQUE,6175,83000.0,83137,Toulon,83,,84.0,55.07,,,,,,,,,1,2.0,Appartement,48.0,2.0,,5.93044,43.120997,000CN,798
2023-1131510,2023-12-27,1,Vente,89000.0,20.0,,RUE BAUDIN,0665,83000.0,83137,Toulon,83,,7.0,24.15,,,,,,,,,1,2.0,Appartement,25.0,1.0,,5.933631,43.122479,000CL,800
2023-1131600,2023-12-28,1,Vente,255000.0,179.0,,RUE DENIS LITARDI,2160,83000.0,83137,Toulon,83,,23.0,,34.0,54.62,,,,,,,2,2.0,Appartement,57.0,3.0,,5.933899,43.108613,000BX,799
2023-1131606,2023-12-27,1,Vente,98000.0,246.0,,AV DOCTEUR FONTAN,2270,83200.0,83137,Toulon,83,,13.0,55.05,,,,,,,,,1,2.0,Appartement,55.0,3.0,,5.918963,43.132226,000CY,800
2023-1131627,2023-12-28,1,Vente,380000.0,384.0,,AV DE CLARET,1590,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,64.0,4.0,220.0,5.92468,43.132227,000AN,799
2023-1131627,2023-12-28,1,Vente,380000.0,384.0,,AV DE CLARET,1590,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,64.0,4.0,220.0,5.92468,43.132227,000AN,799
2023-1131627,2023-12-28,1,Vente,380000.0,384.0,,AV DE CLARET,1590,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,64.0,4.0,220.0,5.92468,43.132227,000AN,799
2023-1131765,2023-12-27,1,Vente,363000.0,196.0,,BD DOCTEUR BOURGAREL,2230,83000.0,83137,Toulon,83,,75.0,50.84,,,,,,,,,1,2.0,Appartement,49.0,3.0,,5.979652,43.111325,000BK,800
2023-1131793,2023-12-29,1,Vente,300000.0,178.0,,RUE AMBROISE PARE,0175,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,70.0,3.0,371.0,5.970197,43.131217,000AT,798
2023-1131800,2023-12-28,1,Vente,85000.0,33.0,,RUE SAINTE CHRISTINE,6570,83000.0,83137,Toulon,83,,7.0,,9.0,,,,,,,,2,2.0,Appartement,25.0,1.0,,5.940245,43.111202,000BV,799
2023-1131804,2023-12-29,1,Vente,185000.0,232.0,,RUE PILOTE PIERRE REBOUL,5815,83000.0,83137,Toulon,83,,11.0,,27.0,,,,,,,,2,2.0,Appartement,69.0,4.0,,5.944534,43.11271,000BT,798
2023-1131805,2023-12-28,1,Vente,212000.0,75.0,,AV DE LOCARNO,4560,83100.0,83137,Toulon,83,,1.0,77.54,2.0,,4.0,,5.0,,6.0,,5,2.0,Appartement,70.0,2.0,,5.949432,43.121545,000CE,799
2023-1131806,2023-12-29,1,Vente,104000.0,2.0,,RUE DOCTEUR REYNAUD,2345,83200.0,83137,Toulon,83,,2.0,53.1,,,,,,,,,1,2.0,Appartement,52.0,2.0,,5.910825,43.128816,000CX,798
2023-1131813,2023-12-28,1,Vente,87000.0,430.0,,AV GENERAL GOURAUD,3270,83200.0,83137,Toulon,83,,1.0,,4.0,,,,,,,,2,2.0,Appartement,43.0,2.0,,5.915841,43.136403,000DH,799
2023-1131816,2023-12-28,1,Vente,135000.0,6.0,,RUE PEIRESC,5680,83000.0,83137,Toulon,83,,4.0,,,,,,,,,,1,2.0,Appartement,60.0,3.0,,5.927738,43.127087,000CO,799
2023-1131818,2023-12-28,1,Vente,106000.0,71.0,,CHE DE LA CHAPELLE NOTRE DAME,1410,83200.0,83137,Toulon,83,,3.0,31.2,,,,,,,,,1,2.0,Appartement,30.0,2.0,,5.901659,43.148132,000EH,799
2023-1131820,2023-12-28,1,Vente,410080.0,1290.0,J,COR EMILE FABRE,X019,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,80.0,4.0,95.0,5.920182,43.142224,000EW,799
2023-1131830,2023-12-28,1,Vente,58000.0,474.0,,BD MARECHAL JOFFRE,4830,83100.0,83137,Toulon,83,,3.0,46.83,,,,,,,,,1,2.0,Appartement,39.0,3.0,,5.953961,43.123789,000CE,799
2023-1131834,2023-12-29,1,Vente,256000.0,1.0,,RUE PAULIN GUERIN,5645,83000.0,83137,Toulon,83,,11.0,,,,,,,,,,1,2.0,Appartement,78.0,5.0,,5.927793,43.126754,000CO,798
2023-1131835,2023-12-27,1,Vente,150000.0,1.0,,BD EDGAR AMIGAS,2470,83000.0,83137,Toulon,83,,1.0,84.35,2.0,,,,,,,,2,2.0,Appartement,67.0,3.0,,5.942937,43.1221,000CI,800
2023-1131846,2023-12-28,1,Vente,202000.0,514.0,,BD JULES MICHELET,4100,83000.0,83137,Toulon,83,,19.0,52.5,5.0,,,,,,,,2,2.0,Appartement,50.0,3.0,,5.945638,43.112397,000BT,799
2024-1008979,2024-01-08,1,Vente,397000.0,32.0,,RUE SUFFREN,6855,83000.0,83137,Toulon,83,,20.0,75.8,5.0,,,,,,,,2,2.0,Appartement,78.0,4.0,,5.938133,43.107377,000BV,788
2024-1008983,2024-01-05,1,Vente,266500.0,26.0,,PL GAMBETTA,3155,83000.0,83137,Toulon,83,,59.0,80.78,,,,,,,,,1,2.0,Appartement,80.0,3.0,,5.931017,43.121233,000CN,791
2024-1008984,2024-01-08,1,Vente,258000.0,239.0,,CHE DE LA CARRAIRE,1215,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,66.0,3.0,1000.0,5.935942,43.16231,000ET,788
2024-1008986,2024-01-04,1,Vente,190000.0,1547.0,,AV JOSEPH LOUIS ORTOLAN,4035,83100.0,83137,Toulon,83,,450.0,,497.0,65.13,,,,,,,2,2.0,Appartement,60.0,3.0,,5.963667,43.133989,000AH,792
2024-1008988,2024-01-08,1,Vente,317570.0,6.0,,AV DES VIGNETTES,7235,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,48.0,3.0,88.0,5.941801,43.109213,000BV,788
2024-1008996,2024-01-04,1,Vente,289000.0,280.0,,AV DU MARECHAL FOCH,4820,83000.0,83137,Toulon,83,,207.0,105.04,,,,,,,,,1,2.0,Appartement,110.0,4.0,,5.922016,43.12726,000CP,792
2024-1009003,2024-01-08,1,Vente,117000.0,90.0,E,IMP BRUNO,1090,83100.0,83137,Toulon,83,,117.0,55.4,130.0,,,,,,,,2,2.0,Appartement,54.0,3.0,,5.963362,43.126905,000BE,788
2024-1009004,2024-01-04,1,Vente,32000.0,13.0,S,CHE DE PLAISANCE,5845,83200.0,83137,Toulon,83,,17.0,,5.0,,,,,,,,2,2.0,Appartement,24.0,1.0,,5.919892,43.129909,000CY,792
2024-1009005,2024-01-04,1,Vente,195000.0,286.0,,RUE JEAN PHILIPPE RAMEAU,3943,83000.0,83137,Toulon,83,,158.0,97.86,32.0,,,,,,,,2,2.0,Appartement,98.0,5.0,,5.942128,43.117324,000BZ,792
2024-1009006,2024-01-05,1,Vente,95000.0,14.0,,RUE POMME DE PIN,5875,83000.0,83137,Toulon,83,,11.0,51.02,16.0,,17.0,,,,,,3,2.0,Appartement,64.0,3.0,,5.93526,43.120958,000CM,791
2024-1009008,2024-01-08,1,Vente,87400.0,26.0,,RUE MIRABEAU,5170,83000.0,83137,Toulon,83,,33.0,46.41,34.0,,35.0,,,,,,3,2.0,Appartement,37.0,2.0,,5.930279,43.1275,000CO,788
2024-1009009,2024-01-09,1,Vente,163500.0,90.0,D,IMP BRUNO,1090,83100.0,83137,Toulon,83,,152.0,,160.0,,,,,,,,2,2.0,Appartement,66.0,4.0,,5.963362,43.126905,000BE,787
2024-1009012,2024-01-08,1,Vente,122000.0,178.0,,BD DE PARIS,5565,83200.0,83137,Toulon,83,,26.0,,39.0,,,,,,,,2,2.0,Appartement,80.0,4.0,,5.910574,43.130624,000CX,788
2024-1009016,2024-01-10,1,Vente,192100.0,42.0,,RUE PICOT,5750,83000.0,83137,Toulon,83,,9.0,87.06,,,,,,,,,1,2.0,Appartement,78.0,3.0,,5.935452,43.125121,000CK,786
2024-1009019,2024-01-05,1,Vente,70000.0,94.0,,BD REGIS DUSSERRE,6145,83200.0,83137,Toulon,83,,4.0,39.65,,,,,,,,,1,2.0,Appartement,40.0,2.0,,5.899152,43.128254,000DL,791
2024-1009020,2024-01-04,1,Vente,35000.0,460.0,,AV COLONEL PICOT,1755,83100.0,83137,Toulon,83,,5.0,23.6,,,,,,,,,1,2.0,Appartement,23.0,1.0,,5.962112,43.127004,000BE,792
2024-1009021,2024-01-04,1,Vente,190000.0,48.0,,RUE D ESPAGNE,2665,83200.0,83137,Toulon,83,,5.0,,,,,,,,,,1,2.0,Appartement,100.0,4.0,,5.910857,43.129337,000CX,792
2024-1009022,2024-01-08,1,Vente,278000.0,11.0,,RUE KLEBER,4185,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,65.0,3.0,210.0,5.950416,43.127816,000AR,788
2024-1009023,2024-01-05,1,Vente,75000.0,94.0,,BD REGIS DUSSERRE,6145,83200.0,83137,Toulon,83,,3.0,29.6,,,,,,,,,1,2.0,Appartement,40.0,2.0,,5.899152,43.128254,000DL,791
2024-1009038,2024-01-08,1,Vente,647500.0,1695.0,,AV DE LA RESISTANCE,6180,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,72.0,3.0,693.0,5.963759,43.113929,000BN,788
2024-1009038,2024-01-08,1,Vente,647500.0,1695.0,,AV DE LA RESISTANCE,6180,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,72.0,3.0,693.0,5.963759,43.113929,000BN,788
2024-1009040,2024-01-11,1,Vente,188000.0,90.0,,ALL DES ACANTHES,0038,83200.0,83137,Toulon,83,,16.0,39.2,,,,,,,,,1,2.0,Appartement,39.0,2.0,,5.908441,43.144745,000DV,785
2024-1009042,2024-01-08,1,Vente,222000.0,1.0,,PL GUSTAVE LAMBERT,3520,83000.0,83137,Toulon,83,,5.0,72.15,,,,,,,,,1,2.0,Appartement,68.0,3.0,,5.93204,43.12152,000CN,788
2024-1009048,2024-01-12,1,Vente,185000.0,8.0,,RUE CASTEL,1260,83000.0,83137,Toulon,83,,16.0,48.72,6.0,,,,,,,,2,2.0,Appartement,46.0,2.0,,5.938655,43.111394,000BV,784
2024-1009051,2024-01-15,1,Vente,55000.0,3.0,,RUE ETIENNE DAUPHIN,2695,83000.0,83137,Toulon,83,,6.0,51.53,7.0,,,,,,,,2,2.0,Appartement,52.0,3.0,,5.931301,43.124352,000CO,781
2024-1009059,2024-01-09,1,Vente,114300.0,117.0,,AV LAZARE CARNOT,4375,83000.0,83137,Toulon,83,,105.0,37.83,136.0,,,,,,,,2,2.0,Appartement,35.0,1.0,,5.924734,43.127405,000CP,787
2024-1009060,2024-01-12,1,Vente,154250.0,9010.0,,BD DE PARIS,5565,83200.0,83137,Toulon,83,,100.0,67.41,26.0,,,,,,,,2,2.0,Appartement,67.0,3.0,,5.908725,43.130429,000CW,784
2024-1009061,2024-01-10,1,Vente,102400.0,209.0,,RUE SUZANNE,6865,83000.0,83137,Toulon,83,,3.0,,4.0,,9.0,36.43,,,,,3,2.0,Appartement,36.0,2.0,,5.923248,43.13607,000CZ,786
2024-1009067,2024-01-08,1,Vente,162000.0,481.0,,AV DES MOULINS,5335,83200.0,83137,Toulon,83,,2.0,62.97,,,,,,,,,1,2.0,Appartement,29.0,2.0,,5.913095,43.141522,000DH,788
2024-1009068,2024-01-04,1,Vente,80000.0,139.0,,RUE AUGUSTIN THIERRY,0530,83000.0,83137,Toulon,83,,4.0,39.18,7.0,,,,,,,,2,2.0,Appartement,40.0,2.0,,5.949995,43.118895,000BR,792
2024-1009100,2024-01-09,1,Vente,174000.0,470.0,,BD BAZEILLES,0710,83000.0,83137,Toulon,83,,227.0,,245.0,,,,,,,,2,2.0,Appartement,59.0,3.0,,5.934776,43.11236,000BY,787
