id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2023-1131627,2023-12-28,1,Vente,380000.0,384.0,,AV DE CLARET,1590,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,64.0,4.0,220.0,5.92468,43.132227,000AN,799
2023-1131627,2023-12-28,1,Vente,380000.0,384.0,,AV DE CLARET,1590,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,64.0,4.0,220.0,5.92468,43.132227,000AN,799
2023-1131627,2023-12-28,1,Vente,380000.0,384.0,,AV DE CLARET,1590,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,64.0,4.0,220.0,5.92468,43.132227,000AN,799
2023-1131793,2023-12-29,1,Vente,300000.0,178.0,,RUE AMBROISE PARE,0175,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,70.0,3.0,371.0,5.970197,43.131217,000AT,798
2023-1131820,2023-12-28,1,Vente,410080.0,1290.0,J,COR EMILE FABRE,X019,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,80.0,4.0,95.0,5.920182,43.142224,000EW,799
2024-1008984,2024-01-08,1,Vente,258000.0,239.0,,CHE DE LA CARRAIRE,1215,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,66.0,3.0,1000.0,5.935942,43.16231,000ET,788
2024-1008988,2024-01-08,1,Vente,317570.0,6.0,,AV DES VIGNETTES,7235,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,48.0,3.0,88.0,5.941801,43.109213,000BV,788
2024-1009022,2024-01-08,1,Vente,278000.0,11.0,,RUE KLEBER,4185,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,65.0,3.0,210.0,5.950416,43.127816,000AR,788
2024-1009194,2024-01-11,1,Vente,480000.0,207.0,,RUE DE SAINT QUENTIN,6525,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,88.0,4.0,345.0,5.973072,43.13389,000AV,785
2024-1009198,2024-01-12,1,Vente,353140.0,41.0,,CHE BEAU SITE VALBERTRAND,0749,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,78.0,4.0,252.0,5.89108,43.136864,000DR,784
